Product ID,Part Number,Product Name,Category,Sub-Category,Compatible Series / Models,Description,Key Features,Unit of Measure,Currency,Price EUR,Price GBP,Image Reference / Alt Text,Catalogue Page,Stock Status,Notes / Expert Tips,Image URL
BL-001,BL15083,Pick-Up Weight 900 kg – MFWD,Tractor Parts,Ballasting,Tractors with MFWD only,"Front pick-up weight 900 kg for tractors with mechanical front-wheel drive. Improves stability, steering and fuel efficiency.",900 kg; For MFWD tractors; Improves axle weight distribution; Boosts traction,Each,EUR/GBP,–,–,BL15083 900kg pick-up weight front mounted | Weight on front of tractor,12,In Stock,Optimises fuel consumption and payload,/images/BL15083.jpeg
BL-002,BL15084,"Pick-Up Weight 1,150 kg – MFWD",Tractor Parts,Ballasting,Tractors with MFWD only,"1,150 kg front pick-up weight for MFWD tractors.","1,150 kg; MFWD only; Steel construction; Yellow painted",Each,EUR/GBP,–,–,BL15084 1150kg pick-up weight | Front loader view,12,In Stock,,/images/BL15084.jpeg
BL-003,BL16249,Quick Mount Weight Set 200 kg (2x100 kg),Tractor Parts,Ballasting,6M; 6R (with BL16233 or BL15894 installed),"Quick-mount wheel weight set, 200 kg total (2×100 kg). Requires adapter set BL16233 or BL15894.",200 kg (2 × 100 kg); Quick mount; For 6M and 6R; Requires adapter,Set,EUR/GBP,–,–,BL16249 wheel weight set yellow rings | Wheel with mounted weights,12,In Stock,Flexible field/transport ballasting,/images/BL16249.jpeg
VP-001,AL71345,Lockable Door Handle – 5-9 Series / 6R FT4,Tractor Parts,Vandal Protection,Most 5-9 Series tractors; 6R FT4 (-1L06130RKG866074),Lockable door handle to protect against theft and unauthorised access.,Lockable; Theft deterrent; OEM fit,Each,EUR/GBP,–,–,AL71345 lockable door handle silver | Handle close-up on cab door,13,In Stock,,/images/AL71345.jpeg
VP-002,AL213203,Lockable Fuel Tank Cap Green – Stage IIIB/IV,Tractor Parts,Vandal Protection,5E; 5M; 5R; 6 Series Stage IIIB or Stage IV,Green lockable fuel tank cap to prevent fuel theft and contamination.,Lockable; Green colour; Fuel theft prevention; OEM seal,Each,EUR/GBP,–,–,AL213203 green lockable fuel cap | Cap on tractor fuel tank,13,In Stock,,/images/AL213203.jpeg
VP-003,AL211572,Lockable DEF Tank Cap Blue – 6M / 6R Stage IV,Tractor Parts,Vandal Protection,6M Stage IV; 6R Stage IV,Blue lockable DEF (diesel exhaust fluid) tank cap.,Lockable; Blue DEF identification colour; Prevents contamination,Each,EUR/GBP,–,–,AL211572 blue DEF lockable cap | Blue cap on DEF port,13,In Stock,,/images/AL211572.jpeg
VP-004,BPF11074,Lockable Device for StarFire 6000 Receiver,Tractor Parts,Vandal Protection,All Series,Security lock for StarFire 6000 GPS receiver. Compatible with JD PIN code system.,PIN code system compatible; GPS receiver protection; Universal fit,Each,EUR/GBP,–,–,BPF11074 StarFire receiver lock green | GPS receiver with lock installed,13,In Stock,Protects StarFire 6000 and Universal Display,/images/BPF11074.jpeg
CC-001,BL16675,Mirrors – Electrically Adjustable Heatable – 6R (Both Sides),Tractor Parts,Cab Comfort,6R,"Electrically adjustable and heatable mirrors for 6R tractors, both sides included.",Electrically adjustable; Heatable; Wide angle; Both sides; OEM fitment,Pair,EUR/GBP,–,–,BL16675 heated electric mirrors on 6R | Mirror close-up showing wide angle,15,In Stock,Wide angle for large implements,/images/BL16675.jpeg
CC-002,MCTJHD5561C,Floor Mat Rubber – 6R,Tractor Parts,Cab Comfort,6R,Perfect-fit black rubber floor mat for 6R tractors. Noise-reducing design.,Rubber; Noise-reducing; Custom-fit 6R; Black; Durable,Each,EUR/GBP,–,–,MCTJHD5561C rubber floor mat black | Rolled floor mat,15,In Stock,,/images/MCTJHD5561C.jpeg
CC-003,MCTJHD5561,Floor Mat Carpet – 6R,Tractor Parts,Cab Comfort,6R,Beige carpet floor mat for 6R tractors.,Carpet; Beige; Custom-fit 6R; Noise-reducing,Each,EUR/GBP,–,–,MCTJHD5561 beige carpet floor mat | Mat laid flat,15,In Stock,,/images/MCTJHD5561.jpeg
CC-004,RE275283,Leather Steering Wheel – 5R / 7R / 8R / 9R(X),Tractor Parts,Cab Comfort,5R; 7R; 8R; 9R(X),"Leather-wrapped steering wheel upgrade for 5R, 7R, 8R and 9R(X) tractors.",Leather wrap; Ergonomic grip; Premium feel; Direct replacement,Each,EUR/GBP,–,–,RE275283 leather steering wheel | Wheel on plain background,15,In Stock,,/images/RE275283.jpeg
CC-005,BRE10458,Foot Rests – 7R / 8R(T/X) MY20+,Tractor Parts,Cab Comfort,7R MY20+; 8R(T/X) MY20+,Bolt-in foot rests for MY2020+ 7R and 8R models. Withstands 180 kg force. Use with AutoTrac and swivel seat.,Bolt-in; 180 kg rated; MY20+ fitment; Comfort upgrade; AutoTrac compatible,Each,EUR/GBP,–,–,BRE10458 foot rests installed in cab | Foot pegs extended in cab,14,In Stock,"Direct-fit, no modification needed",/images/BRE10458.jpeg
LP-001,BXX10402,Loader Suspension System – 603R/623R/643R/663R/683R,Tractor Parts,Loader Attachments,603R; 623R; 643R; 663R; 683R,"Active loader suspension system that damps loads protecting tractor and cargo, enhancing driver comfort during loader operations.",Active damping; Protects load & tractor; Increases driver comfort; Loader specific,Kit,EUR/GBP,–,–,BXX10402 loader suspension system | Tractor with loader arm and suspension unit,16,In Stock,Easy upgrade for existing JD loaders,/images/BXX10402.jpeg
LP-002,BCC10339,Hydraulic Implement Unlatching Kit – Euro Carrier,Tractor Parts,Loader Attachments,Loaders with Euro carrier and multicoupler,Unlatch implements from cab via switch. Manual unlatching still available as backup.,Cab-operated unlatching; Euro carrier compatible; Switch control; Manual backup,Kit,EUR/GBP,–,–,BCC10339 hydraulic unlatch kit switch | Cab switch and hydraulic coupling detail,16,In Stock,,/images/BCC10339.jpeg
LP-003,BCC10347,Additional Loader Lights – 603R/623R/643R/663R/683R,Tractor Parts,Loader Attachments,603R; 623R; 643R; 663R; 683R,LED lights mounted on loader arms for improved visibility during night operations.,LED; Loader arm mounted; Night visibility; Plug-and-play,Kit,EUR/GBP,–,–,BCC10347 loader lights LED | Night shot of illuminated loader arm,16,In Stock,,/images/BCC10347.jpeg
LP-004,BL15601,Return-To-Position System (RTP) – 6110R-6215R FT4,Tractor Parts,Loader Attachments,6110R-6215R FT4 w/o CommandARM,Enables repetitive loader tasks to be executed consistently and accurately.,Automated position memory; Consistent loader height; Productivity boost; Non-CommandARM models,Kit,EUR/GBP,–,–,BL15601 RTP kit | Loader arm returning to preset height,16,In Stock,,/images/BL15601.jpeg
CP-001,AXE23480,Crop Lifters – 600R / 700PF / 600X / 700X,Combine Parts,Platform,600R; 700PF; 600X; 700X,"Crop lifters for combining laying/down crops. Installed on knife guards, 3-position adjustment. Prevents cutterbar damage.",3-position adjustment; Protects cutterbar; Improves down-crop performance; Easy installation on knife guards,Each,EUR/GBP,–,–,AXE23480 green crop lifter | Close-up of crop lifter on header,17,In Stock,Replace when bent or damaged,/images/AXE23480.jpeg
CP-002,AXE37174,Welded Knife Guard – 600R / 600X / 700X / 700PF,Combine Parts,Platform,600R; 600X; 700X; 700PF,Welded knife guard. Properly serviced guards reduce power needs and fuel consumption.,Welded construction; Reduces fuel consumption; Superior surface treatment for wear; OEM fit,Each,EUR/GBP,–,–,AXE37174 welded knife guard green | Guard mounted on cutterbar,18,In Stock,"Replace when broken, bent or gap >5.4 mm",/images/AXE37174.jpeg
CP-003,Z93077,Knife Section Coarse Serrated 19T – 600R/600X/700X,Combine Parts,Platform,600R; 600X; 700X,Coarse serrated knife section (19 teeth per edge) for dry conditions. Computer-controlled hardening.,19 teeth per cutting edge; Coarse serrated; For dry conditions; Computer-hardened; Fast changeover,Box of 25,EUR/GBP,–,–,Z93077 box of knife sections | Knife section close-up showing serrations,18,In Stock,Up to 80% crop loss at header – use OEM knives,/images/Z93077.jpeg
CP-004,Z93078,Knife Section Fine Serrated 25T – 600R/600X/700X,Combine Parts,Platform,600R; 600X; 700X,"Fine serrated knife section (25 teeth per edge) for grass, linseed, small grain in green straw and weedy conditions.",25 teeth per cutting edge; Fine serrated; For grass/linseed/weedy; Computer-hardened,Box of 25,EUR/GBP,–,–,Z93078 fine knife section | 25-tooth section detail,18,In Stock,,/images/Z93078.jpeg
CP-005,KXE10306,Cutterbar Kit Coarse Serrated – 622X/722X,Combine Parts,Platform,622X; 722X,Complete cutterbar kit for 622X/722X – coarse serrated knives. Save time and money vs individual parts.,Complete kit; Coarse serrated; For 622X/722X; Time & cost saving,Kit,EUR/GBP,–,–,KXE10308 cutterbar kit box | Kit components laid out,18,In Stock,Also available in fine serrated,/images/KXE10306.jpeg
CP-006,AH214868,Auger Finger Kit (10 pcs) – 600R/600F/600X/700X,Combine Parts,Platform,600R; 600F; 600X; 700X,"Kit of 10 steel auger fingers with retainer and pins. Zone-hardened, high elasticity.",10 fingers with retainer & pins; Zone-hardened; High elasticity; Finger retainer prevents internal damage,Kit of 10,EUR/GBP,–,–,AH214868 auger finger kit | Steel fingers and retainer components,19,In Stock,Replace retainers to avoid internal damage,/images/AH214868.jpeg
CT-001,KXE10034,Threshing Element Normal Wear Grain – S-Series,Combine Parts,Threshing,S-Series (Variable Stream Rotor),"Variable stream rotor threshing element for standard grain, normal wear.",Variable stream rotor; Normal wear; Grain optimised; Package of 3,Pack of 3,EUR/GBP,–,–,KXE10034 threshing element | Rotor element close-up,21,In Stock,Check with rotor wear gauge,/images/KXE10034.jpeg
CT-002,AH205120,Chromed Rasp Bar Set RH – 95XX/W5X0/T5X0,Combine Parts,Threshing,95XX WTS; 9780CTS; W5X0; T5X0,Right-hand chromed rasp bar set (5 bars). Chrome treatment for higher durability than standard.,Chromed surface; Higher durability; 5-bar set; Right-hand side,Pack of 5,EUR/GBP,–,–,AH205120 chrome rasp bar set | Shiny chrome bars,21,In Stock,Replace when profile <6 mm thickness,/images/AH205120.jpeg
CB-001,HXE147321,Rotor Drive Belt Heavy Duty – S-Series MY12+,Combine Parts,Belts,S-Series MY12+ Heavy Duty,Heavy duty rotor drive belt. Unique rubber mix and aramid cords for longer life.,Heavy duty; Aramid cords; Extended service intervals; Up to 30% cost savings vs competitive belts,Each,EUR/GBP,–,–,HXE147321 heavy duty belt | Belt on plain background,23,In Stock,"Replace if ruptured, irregular noise or 3% elongation",/images/HXE147321.jpeg
CB-002,H174885,Feederhouse Drive Belt HD/HT – S-Series MY12+,Combine Parts,Belts,S-Series MY12+ (Heavy Duty and High Torque),Heavy Duty and High Torque feederhouse drive belt for S-Series combines.,Heavy Duty & High Torque; Aramid reinforced; OEM spec; S-Series,Each,EUR/GBP,–,–,H174885 feederhouse belt | Wide belt profile view,23,In Stock,,/images/H174885.jpeg
CK-001,Z103205,Premium Chopper Knife Serrated Rotary – W/T-Series,Combine Parts,Chopper Knives,9780CTS; 9000WTS; W/T-Series,Premium serrated rotary chopper knife. Zone-hardened and precision balanced for maximum chopping quality.,Premium grade; Serrated; Zone-hardened; Precision balanced; Reduced fuel; Better chopping,Each,EUR/GBP,–,–,Z103205 premium chopper knife yellow packaging | Knife with serrated edge,23,In Stock,Replace in pairs to maintain rotor balance,/images/Z103205.jpeg
CK-002,KXE10256,Straight Knife Set (8 pcs) – S-Series MY12+,Combine Parts,Chopper Knives,S-Series MY12+,Set of 8 straight chopper knives for S-Series combines.,8-knife set; Straight profile; S-Series; Zone-hardened; Balanced,Set of 8,EUR/GBP,–,–,KXE10256 straight knife set | Set of knives fanned out,23,In Stock,,/images/KXE10256.jpeg
RM-001,–,Remanufactured Turbocharger,Remanufactured Parts,Engine Components,Tractors; Combines; Sprayers; Forage Harvesters,"Remanufactured turbocharger. Failed parts replaced with OEM parts, tested to original specs. 1-year unlimited warranty.",Tested to OEM specs; 1-year unlimited warranty; OEM parts used; Environmentally friendly; Cost-efficient vs new,Exchange Unit,EUR/GBP,–,–,Reman turbocharger green John Deere Reman box | Turbocharger on workbench,27-28,Available on Order,Ask dealer for model-specific part number,
RM-002,–,Remanufactured Hydraulic Pump/Motor,Remanufactured Parts,Hydraulics,Tractors; Combines; Sprayers,Remanufactured hydraulic pump and motor. Tested to original performance specifications.,1-year unlimited warranty; OEM spec testing; Reduces downtime; Competitive pricing,Exchange Unit,EUR/GBP,–,–,Reman hydraulic pump green | Pump unit on plain background,28,Available on Order,Component exchange reduces machine downtime,/images/–.jpeg
RM-003,–,Remanufactured Complete Engine,Remanufactured Parts,Engine Components,Tractors; Combines; Sprayers; Forage Harvesters,"Complete remanufactured engine. 2-year or 2,000-hour warranty (unlimited hours in year 1).","2-year/2,000-hr warranty; Unlimited hours year 1; Latest performance enhancements; In stock ready to go",Exchange Unit,EUR/GBP,–,–,Reman complete engine green | Engine assembly overhead view,28,Available on Order,,/images/–.jpeg
BP-001,AFH202038,Bulk Belt 50m – All Round Balers,Baler Parts,Baler Belts,All Round Balers,50 m roll of bulk baler belt. Diamond tread. Most cost-efficient way to re-belt round balers. Priced per metre.,50 m roll; Diamond tread; Nylon/polyester fabric; 4-rubber-mat sealed; Vulcanised; Flat inside layer,Roll (50 m),EUR/GBP,–,–,AFH202038 bulk belt roll | Roll of baler belt on pallet,37,In Stock,Ask about belt fastener tools,/images/AFH202038.jpeg
BP-002,DC200782,Baler Belt Short 13.07m – 592/854/862/864,Baler Parts,Baler Belts,592; 854; 862; 864,"Pre-cut short baler belt 13.07 m for 592, 854, 862, 864 round balers. Quantity 2.",Pre-cut; 13.07 m; Diamond tread; 5-layer construction; Low heat build-up,Pack of 2,EUR/GBP,–,–,DC200782 baler belt short | Belt section coiled,37,In Stock,,/images/DC200782.jpeg
BP-003,CC131160,Pre-Cutter Knives 14/25 – 623/644/744,Baler Parts,Pre-Cutter,623; 644; 744,"Pre-cutter knives (14 or 25 per set) for 623, 644, 744 balers. Double-tempered for better resistance and high elasticity.",Double-tempered; High elasticity; Reduces torque loads by 30%; Up to 10% less fuel; Better resistance,Set,EUR/GBP,–,–,CC131160 pre-cutter knife set | Knives arranged in a row,38,In Stock,Replace when cracked or broken,/images/CC131160.jpeg
BP-004,CC25176,Round Baler Pick-Up Tooth 1.81m – 572/582/592/842/852/862,Baler Parts,Pick-Up,572; 582; 592; 842; 852; 862,"Pick-up tooth 1.81 m (48 per machine). 5-coil design, shot-peened, up to 47% longer wear life.",5-coil design; Shot-peened; 47% longer wear life; High picking efficiency; Avoids component damage,Pack of 48,EUR/GBP,–,–,CC25176 pick-up tooth set | Close-up of spring teeth,38,In Stock,,/images/CC25176.jpeg
CPK-001,–,John Deere XtraNet+ Netwrap,Baler Parts,Crop Packaging,All John Deere Round Balers,XtraNet+ netwrap designed specifically for John Deere balers. All-day trouble-free baling formula.,JD-specific design; Trouble-free baling; XtraNet+ formula; Reliable performance,Roll,EUR/GBP,–,–,XtraNet+ netwrap roll green yellow branding | Netwrap on baler,39,In Stock,Ask dealer for width and length options,/images/–.jpeg
CPK-002,MCXFA1871,Windrow Hay Moisture Tester (Before Baling),Baler Parts,Crop Packaging,Universal,Portable windrow moisture tester to check hay readiness before baling. No need to make a test bale first.,Pre-baling test; Portable; No test bale needed; Easy to use; Above 20% = quality decrease,Each,EUR/GBP,–,–,MCXFA1871 windrow moisture tester handheld | Tester in hand in field,39,In Stock,,/images/MCXFA1871.jpeg
CPK-003,MCXFA1872,Hay Moisture Tester After Baling – 45cm Probe,Baler Parts,Crop Packaging,Universal,Handheld probe tester (45 cm pistol-grip) for moisture after baling. Range 14–44%.,45 cm probe; Pistol-grip; 14-44% range; Post-baling check; Before barn storage,Each,EUR/GBP,–,–,MCXFA1872 hay moisture probe pistol grip | Probe being inserted into bale,39,In Stock,,/images/MCXFA1872.jpeg
SP-001,HXE93580,Feedroll Reversible Steel Bar Upper – 8100-8600,SPFH Parts,Feedroll,8100-8500 (-MY18); 8100-8600 (MY19+),Reversible steel bar for upper feed roll. Induction-hardened stainless steel. Non-ferrous for metal detection safety.,Reversible; Induction-hardened SS; Non-ferrous; Individually replaceable; 10 per roll,Pack of 10,EUR/GBP,–,–,HXE93580 feedroll steel bar | Bar close-up showing hardened surface,29,In Stock,Smooth crop mat = better silage quality,/images/HXE93580.jpeg
SP-002,HXE53568,Cutterhead Knife Grass Dura Line – 8100-8600,SPFH Parts,Cutterhead Knives,8100-8500 (-MY18); 8100-8600 (MY19+),Grass Dura Line cutterhead knife. Tungsten carbide coating. 33% wider coating than 7080 Series.,Dura Line; Tungsten carbide coating; 33% wider coat vs 7080; Longer wear; Lower engine demand; Stays sharper longer,Each,EUR/GBP,–,–,HXE53568 Dura Line grass knife | Knife showing tungsten coating,31,In Stock,40/48/56/64 per cutterhead rotor,/images/HXE53568.jpeg
SP-003,HXE53570,Cutterhead Knife Corn Dura Line – 8100-8600,SPFH Parts,Cutterhead Knives,8100-8500 (-MY18); 8100-8600 (MY19+),Corn Dura Line cutterhead knife. 41% wider coating than 7080 Series. Tungsten carbide.,Dura Line; Tungsten carbide; 41% wider coat vs 7080; Superior corn cutting; Low fuel demand,Each,EUR/GBP,–,–,HXE53570 Dura Line corn knife | Corn knife with carbide edge,31,In Stock,Order knife fixing parts separately,/images/HXE53570.jpeg
SP-004,HXE142406,Corn Shearbar Kit – 8100-8600,SPFH Parts,Shearbars,8100-8500 (-MY18); 8100-8600 (MY19+),Corn shearbar kit for 8000 series SPFH. Pivoting assembly maintains 0.2–0.4 mm constant cutting gap.,Corn optimised; Pivoting assembly; 0.2-0.4 mm cutting gap; Simplified design; Less Teflon strip cost,Kit,EUR/GBP,–,–,HXE142406 corn shearbar kit | Shearbar mounted in machine,30,In Stock,,/images/HXE142406.jpeg
SP-005,AXE17437,Sharpening Stone – 8000/9000 Series SPFH,SPFH Parts,Sharpening,8000; 9000 Series SPFH,Sintered corundum sharpening stone for SPFH. 450 grinding cycles. Display counter tells when to replace.,450 grinding cycles; Display counter; Sintered corundum; Always fits first time; Fast changeover,Each,EUR/GBP,–,–,AXE17437 sharpening stone brown | Stone on plain background,31,In Stock,,/images/AXE17437.jpeg
